YearMonth,YearAndFraction,SSN_OBS_SWO,SSN_OBS_RI,Ratio_RI_SW,SM_SWO,SM_RI,RF_OBS_10.7cm,RF_SM_10.7cm,GEO_OBS_Ap,GEO_SM_Ap,GSY_AvMnthT_C
179609,1796.712,,18.4,,,13.3,,,,,
179610,1796.797,,11.0,,,11.6,,,,,
179611,1796.879,,8.4,,,9.9,,,,,
179612,1796.964,,5.1,,,9.5,,,,,
179701,1797.049,,14.4,,,8.8,,,,,
179702,1797.128,,4.2,,,8.0,,,,,
179703,1797.210,,4.0,,,7.7,,,,,
179704,1797.292,,4.0,,,7.0,,,,,
179705,1797.377,,7.3,,,6.7,,,,,
179706,1797.459,,11.1,,,6.5,,,,,
179707,1797.544,,4.3,,,5.9,,,,,
179708,1797.629,,6.0,,,5.4,,,,,
179709,1797.711,,5.7,,,5.7,,,,,
179710,1797.796,,6.9,,,5.9,,,,,
179711,1797.878,,5.8,,,5.5,,,,,
179712,1797.963,,3.0,,,4.7,,,,,
179801,1798.048,,2.0,,,4.1,,,,,
179802,1798.127,,4.0,,,3.8,,,,,
179803,1798.209,,12.4,,,3.5,,,,,
179804,1798.292,,1.1,,,3.2,,,,,
179805,1798.376,,0.0,,,3.2,,,,,
179806,1798.459,,0.0,,,3.8,,,,,
179807,1798.543,,0.0,,,4.0,,,,,
179808,1798.628,,3.0,,,4.4,,,,,
179809,1798.710,,2.4,,,5.1,,,,,
179810,1798.795,,1.5,,,5.8,,,,,
179811,1798.877,,12.5,,,6.5,,,,,
179812,1798.962,,9.9,,,7.3,,,,,
179901,1799.047,,1.6,,,7.8,,,,,
179902,1799.127,,12.6,,,7.7,,,,,
179903,1799.209,,21.7,,,7.5,,,,,
179904,1799.291,,8.4,,,7.6,,,,,
179905,1799.376,,8.2,,,7.3,,,,,
179906,1799.458,,10.6,,,6.8,,,,,
179907,1799.543,,2.1,,,7.0,,,,,
179908,1799.628,,0.0,,,7.1,,,,,
179909,1799.710,,0.0,,,6.6,,,,,
179910,1799.795,,4.6,,,5.9,,,,,
179911,1799.877,,2.7,,,5.4,,,,,
179912,1799.962,,8.6,,,5.9,,,,,
180001,1800.047,,6.9,,,7.2,,,,,
180002,1800.126,,9.3,,,8.8,,,,,
180003,1800.208,,13.9,,,10.1,,,,,
180004,1800.290,,0.0,,,10.9,,,,,
180005,1800.375,,5.0,,,11.5,,,,,
180006,1800.457,,23.7,,,13.2,,,,,
180007,1800.542,,21.0,,,15.3,,,,,
180008,1800.627,,19.5,,,17.0,,,,,
180009,1800.709,,11.5,,,18.5,,,,,
180010,1800.794,,12.3,,,20.4,,,,,
180011,1800.876,,10.5,,,22.8,,,,,
180012,1800.961,,40.1,,,24.3,,,,,
180101,1801.046,,27.0,,,25.2,,,,,
180102,1801.125,,29.0,,,26.6,,,,,
180103,1801.207,,30.0,,,28.3,,,,,
180104,1801.290,,31.0,,,30.0,,,,,
180105,1801.374,,32.0,,,32.1,,,,,
180106,1801.457,,31.2,,,33.7,,,,,
180107,1801.541,,35.0,,,34.9,,,,,
180108,1801.626,,38.7,,,36.5,,,,,
180109,1801.708,,33.5,,,37.7,,,,,
180110,1801.793,,32.6,,,38.6,,,,,
180111,1801.875,,39.8,,,39.5,,,,,
180112,1801.960,,48.2,,,40.7,,,,,
180201,1802.045,,47.8,,,41.8,,,,,
180202,1802.125,,47.0,,,42.8,,,,,
180203,1802.207,,40.8,,,44.1,,,,,
180204,1802.289,,42.0,,,45.1,,,,,
180205,1802.374,,44.0,,,45.1,,,,,
180206,1802.456,,46.0,,,45.0,,,,,
180207,1802.541,,48.0,,,45.1,,,,,
180208,1802.626,,50.0,,,45.4,,,,,
180209,1802.708,,51.8,,,45.1,,,,,
180210,1802.793,,38.5,,,43.9,,,,,
180211,1802.875,,34.5,,,43.2,,,,,
180212,1802.960,,50.0,,,42.8,,,,,
180301,1803.044,,50.0,,,42.4,,,,,
180302,1803.124,,50.8,,,41.7,,,,,
180303,1803.206,,29.5,,,40.8,,,,,
180304,1803.288,,25.0,,,41.2,,,,,
180305,1803.373,,44.3,,,42.5,,,,,
180306,1803.455,,36.0,,,43.1,,,,,
180307,1803.540,,48.3,,,42.9,,,,,
180308,1803.625,,34.1,,,42.6,,,,,
180309,1803.707,,45.3,,,43.2,,,,,
180310,1803.792,,54.3,,,45.1,,,,,
180311,1803.874,,51.0,,,45.7,,,,,
180312,1803.959,,48.0,,,45.2,,,,,
180401,1804.044,,45.3,,,44.3,,,,,
180402,1804.126,,48.3,,,43.9,,,,,
180403,1804.208,,48.0,,,44.6,,,,,
180404,1804.290,,50.6,,,45.3,,,,,
180405,1804.375,,33.4,,,46.0,,,,,
180406,1804.457,,34.8,,,47.0,,,,,
180407,1804.542,,29.8,,,48.1,,,,,
180408,1804.627,,43.1,,,48.6,,,,,
180409,1804.709,,53.0,,,48.6,,,,,
180410,1804.794,,62.3,,,48.2,,,,,
180411,1804.876,,61.0,,,47.9,,,,,
180412,1804.961,,60.0,,,48.3,,,,,
180501,1805.046,,61.0,,,48.9,,,,,
180502,1805.125,,44.1,,,49.2,,,,,
180503,1805.207,,51.4,,,48.8,,,,,
180504,1805.290,,37.5,,,47.1,,,,,
180505,1805.374,,39.0,,,44.9,,,,,
180506,1805.457,,40.5,,,43.1,,,,,
180507,1805.541,,37.6,,,41.3,,,,,
180508,1805.626,,42.7,,,39.8,,,,,
180509,1805.708,,44.4,,,38.4,,,,,
180510,1805.793,,29.4,,,37.2,,,,,
180511,1805.875,,41.0,,,36.3,,,,,
180512,1805.960,,38.3,,,35.2,,,,,
180601,1806.045,,39.0,,,34.2,,,,,
180602,1806.125,,29.6,,,33.2,,,,,
180603,1806.207,,32.7,,,31.7,,,,,
180604,1806.289,,27.7,,,30.7,,,,,
180605,1806.374,,26.4,,,30.0,,,,,
180606,1806.456,,25.6,,,28.7,,,,,
180607,1806.541,,30.0,,,27.0,,,,,
180608,1806.626,,26.3,,,25.1,,,,,
180609,1806.708,,24.0,,,23.4,,,,,
180610,1806.793,,27.0,,,22.3,,,,,
180611,1806.875,,25.0,,,21.5,,,,,
180612,1806.960,,24.0,,,20.2,,,,,
180701,1807.044,,12.0,,,18.9,,,,,
180702,1807.124,,12.2,,,17.6,,,,,
180703,1807.206,,9.6,,,16.3,,,,,
180704,1807.288,,23.8,,,14.7,,,,,
180705,1807.373,,10.0,,,13.0,,,,,
180706,1807.455,,12.0,,,11.1,,,,,
180707,1807.540,,12.7,,,9.5,,,,,
180708,1807.625,,12.0,,,8.7,,,,,
180709,1807.707,,5.7,,,8.0,,,,,
180710,1807.792,,8.0,,,7.1,,,,,
180711,1807.874,,2.6,,,6.8,,,,,
180712,1807.959,,0.0,,,7.0,,,,,
180801,1808.044,,0.0,,,6.8,,,,,
180802,1808.126,,4.5,,,6.4,,,,,
180803,1808.208,,0.0,,,6.5,,,,,
180804,1808.290,,12.3,,,6.6,,,,,
180805,1808.375,,13.5,,,6.8,,,,,
180806,1808.457,,13.5,,,7.6,,,,,
180807,1808.542,,6.7,,,8.4,,,,,
180808,1808.627,,8.0,,,8.9,,,,,
180809,1808.709,,11.7,,,9.2,,,,,
180810,1808.794,,4.7,,,8.8,,,,,
180811,1808.876,,10.5,,,7.9,,,,,
180812,1808.961,,12.3,,,7.2,,,,,
180901,1809.046,,7.2,,,6.7,,,,,
180902,1809.125,,9.2,,,6.1,,,,,
180903,1809.207,,0.9,,,5.3,,,,,
180904,1809.290,,2.5,,,4.6,,,,,
180905,1809.374,,2.0,,,4.0,,,,,
180906,1809.457,,7.7,,,3.0,,,,,
180907,1809.541,,0.3,,,2.2,,,,,
180908,1809.626,,0.2,,,1.6,,,,,
180909,1809.708,,0.4,,,1.1,,,,,
180910,1809.793,,0.0,,,1.0,,,,,
180911,1809.875,,0.0,,,0.8,,,,,
180912,1809.960,,0.0,,,0.4,,,,,
181001,1810.045,,0.0,,,0.1,,,,,
181002,1810.125,,0.0,,,0.0,,,,,
181003,1810.207,,0.0,,,0.0,,,,,
181004,1810.289,,0.0,,,0.0,,,,,
181005,1810.374,,0.0,,,0.0,,,,,
181006,1810.456,,0.0,,,0.0,,,,,
181007,1810.541,,0.0,,,0.0,,,,,
181008,1810.626,,0.0,,,0.0,,,,,
181009,1810.708,,0.0,,,0.0,,,,,
181010,1810.793,,0.0,,,0.0,,,,,
181011,1810.875,,0.0,,,0.0,,,,,
181012,1810.960,,0.0,,,0.0,,,,,
181101,1811.044,,0.0,,,0.3,,,,,
181102,1811.124,,0.0,,,0.6,,,,,
181103,1811.206,,0.0,,,0.7,,,,,
181104,1811.288,,0.0,,,1.0,,,,,
181105,1811.373,,0.0,,,1.3,,,,,
181106,1811.455,,0.0,,,1.4,,,,,
181107,1811.540,,6.6,,,1.9,,,,,
181108,1811.625,,0.0,,,2.4,,,,,
181109,1811.707,,2.4,,,2.5,,,,,
181110,1811.792,,6.1,,,2.6,,,,,
181111,1811.874,,0.8,,,2.6,,,,,
181112,1811.959,,1.1,,,2.7,,,,,
181201,1812.044,,11.3,,,2.5,,,,,
181202,1812.126,,1.9,,,2.9,,,,,
181203,1812.208,,0.7,,,3.7,,,,,
181204,1812.290,,0.0,,,3.7,,,,,
181205,1812.375,,1.0,,,3.9,,,,,
181206,1812.457,,1.3,,,4.6,,,,,
181207,1812.542,,0.5,,,4.5,,,,,
181208,1812.627,,15.6,,,4.4,,,,,
181209,1812.709,,5.2,,,4.8,,,,,
181210,1812.794,,3.9,,,5.5,,,,,
181211,1812.876,,7.9,,,6.4,,,,,
181212,1812.961,,10.1,,,7.0,,,,,
181301,1813.046,,0.0,,,8.1,,,,,
181302,1813.125,,10.3,,,8.6,,,,,
181303,1813.207,,1.9,,,8.7,,,,,
181304,1813.290,,16.6,,,10.1,,,,,
181305,1813.374,,5.5,,,11.5,,,,,
181306,1813.457,,11.2,,,12.0,,,,,
181307,1813.541,,18.3,,,13.1,,,,,
181308,1813.626,,8.4,,,14.1,,,,,
181309,1813.708,,15.3,,,14.3,,,,,
181310,1813.793,,27.8,,,14.8,,,,,
181311,1813.875,,16.7,,,15.1,,,,,
181312,1813.960,,14.3,,,15.3,,,,,
181401,1814.045,,22.2,,,15.4,,,,,
181402,1814.125,,12.0,,,15.2,,,,,
181403,1814.207,,5.7,,,14.6,,,,,
181404,1814.289,,23.8,,,14.0,,,,,
181405,1814.374,,5.8,,,13.5,,,,,
181406,1814.456,,14.9,,,13.7,,,,,
181407,1814.541,,18.5,,,13.8,,,,,
181408,1814.626,,2.3,,,14.5,,,,,
181409,1814.708,,8.1,,,16.2,,,,,
181410,1814.793,,19.3,,,17.4,,,,,
181411,1814.875,,14.5,,,17.9,,,,,
181412,1814.960,,20.1,,,19.8,,,,,
181501,1815.044,,19.2,,,22.2,,,,,
181502,1815.124,,32.2,,,24.8,,,,,
181503,1815.206,,26.2,,,27.6,,,,,
181504,1815.288,,31.6,,,29.2,,,,,
181505,1815.373,,9.8,,,30.7,,,,,
181506,1815.455,,55.9,,,33.5,,,,,
181507,1815.540,,35.5,,,35.7,,,,,
181508,1815.625,,47.2,,,37.5,,,,,
181509,1815.707,,31.5,,,41.0,,,,,
181510,1815.792,,33.5,,,44.1,,,,,
181511,1815.874,,37.2,,,46.7,,,,,
181512,1815.959,,65.0,,,47.6,,,,,
181601,1816.044,,26.3,,,47.3,,,,,
181602,1816.126,,68.8,,,46.4,,,,,
181603,1816.208,,73.7,,,46.1,,,,,
181604,1816.290,,58.8,,,47.7,,,,,
181605,1816.375,,44.3,,,48.7,,,,,
181606,1816.457,,43.6,,,47.3,,,,,
181607,1816.542,,38.8,,,46.2,,,,,
181608,1816.627,,23.2,,,46.2,,,,,
181609,1816.709,,47.8,,,46.7,,,,,
181610,1816.794,,56.4,,,46.3,,,,,
181611,1816.876,,38.1,,,44.0,,,,,
181612,1816.961,,29.9,,,42.8,,,,,
181701,1817.046,,36.4,,,43.2,,,,,
181702,1817.125,,57.9,,,44.5,,,,,
181703,1817.207,,96.2,,,45.0,,,,,
181704,1817.290,,26.4,,,43.2,,,,,
181705,1817.374,,21.2,,,41.6,,,,,
181706,1817.457,,40.0,,,41.1,,,,,
181707,1817.541,,50.0,,,41.0,,,,,
181708,1817.626,,45.0,,,39.5,,,,,
181709,1817.708,,36.7,,,35.0,,,,,
181710,1817.793,,25.6,,,32.4,,,,,
181711,1817.875,,28.9,,,34.1,,,,,
181712,1817.960,,28.4,,,35.3,,,,,
181801,1818.045,,34.9,,,34.2,,,,,
181802,1818.125,,22.4,,,32.7,,,,,
181803,1818.207,,25.4,,,31.7,,,,,
181804,1818.289,,34.5,,,31.5,,,,,
181805,1818.374,,53.1,,,31.0,,,,,
181806,1818.456,,36.4,,,30.2,,,,,
181807,1818.541,,28.0,,,30.0,,,,,
181808,1818.626,,31.5,,,29.8,,,,,
181809,1818.708,,26.1,,,28.8,,,,,
181810,1818.793,,31.6,,,27.3,,,,,
181811,1818.875,,10.9,,,25.3,,,,,
181812,1818.960,,25.8,,,23.9,,,,,
181901,1819.044,,32.8,,,24.0,,,,,
181902,1819.124,,20.7,,,23.9,,,,,
181903,1819.206,,3.7,,,23.2,,,,,
181904,1819.288,,20.2,,,22.6,,,,,
181905,1819.373,,19.6,,,23.0,,,,,
181906,1819.455,,35.0,,,23.8,,,,,
181907,1819.540,,31.4,,,23.4,,,,,
181908,1819.625,,26.1,,,23.1,,,,,
181909,1819.707,,14.9,,,23.4,,,,,
181910,1819.792,,27.5,,,23.4,,,,,
181911,1819.874,,25.1,,,23.7,,,,,
181912,1819.959,,30.6,,,23.1,,,,,
182001,1820.044,,19.2,,,21.7,,,,,
182002,1820.126,,26.6,,,21.2,,,,,
182003,1820.208,,4.5,,,20.8,,,,,
182004,1820.290,,19.4,,,19.6,,,,,
182005,1820.375,,29.3,,,18.1,,,,,
182006,1820.457,,10.8,,,16.5,,,,,
182007,1820.542,,20.6,,,15.7,,,,,
182008,1820.627,,25.9,,,14.9,,,,,
182009,1820.709,,5.2,,,14.0,,,,,
182010,1820.794,,8.9,,,13.6,,,,,
182011,1820.876,,7.9,,,12.0,,,,,
182012,1820.961,,9.1,,,10.5,,,,,
182101,1821.046,,21.5,,,9.4,,,,,
182102,1821.125,,4.2,,,7.8,,,,,
182103,1821.207,,5.7,,,6.8,,,,,
182104,1821.290,,9.2,,,7.2,,,,,
182105,1821.374,,1.7,,,7.5,,,,,
182106,1821.457,,1.8,,,7.0,,,,,
182107,1821.541,,2.5,,,5.7,,,,,
182108,1821.626,,4.8,,,4.7,,,,,
182109,1821.708,,4.4,,,5.0,,,,,
182110,1821.793,,18.8,,,5.6,,,,,
182111,1821.875,,4.4,,,5.8,,,,,
182112,1821.960,,0.2,,,5.9,,,,,
182201,1822.045,,0.0,,,6.3,,,,,
182202,1822.125,,0.9,,,6.4,,,,,
182203,1822.207,,16.1,,,6.1,,,,,
182204,1822.289,,13.5,,,5.2,,,,,
182205,1822.374,,1.5,,,4.2,,,,,
182206,1822.456,,5.6,,,4.0,,,,,
182207,1822.541,,7.9,,,4.0,,,,,
182208,1822.626,,2.1,,,4.0,,,,,
182209,1822.708,,0.0,,,3.3,,,,,
182210,1822.793,,0.4,,,2.1,,,,,
182211,1822.875,,0.0,,,1.4,,,,,
182212,1822.960,,0.0,,,1.1,,,,,
182301,1823.044,,0.0,,,0.6,,,,,
182302,1823.124,,0.0,,,0.2,,,,,
182303,1823.206,,0.6,,,0.1,,,,,
182304,1823.288,,0.0,,,0.1,,,,,
182305,1823.373,,0.0,,,0.1,,,,,
182306,1823.455,,0.0,,,0.9,,,,,
182307,1823.540,,0.5,,,2.7,,,,,
182308,1823.625,,0.0,,,4.0,,,,,
182309,1823.707,,0.0,,,4.5,,,,,
182310,1823.792,,0.0,,,5.3,,,,,
182311,1823.874,,0.0,,,6.2,,,,,
182312,1823.959,,20.4,,,6.3,,,,,
182401,1824.044,,21.7,,,6.3,,,,,
182402,1824.126,,10.8,,,6.3,,,,,
182403,1824.208,,0.0,,,7.2,,,,,
182404,1824.290,,19.4,,,9.1,,,,,
182405,1824.375,,2.8,,,10.2,,,,,
182406,1824.457,,0.0,,,9.4,,,,,
182407,1824.542,,0.0,,,7.9,,,,,
182408,1824.627,,1.4,,,7.4,,,,,
182409,1824.709,,20.5,,,8.5,,,,,
182410,1824.794,,25.2,,,8.8,,,,,
182411,1824.876,,0.0,,,8.6,,,,,
182412,1824.961,,0.8,,,9.8,,,,,
182501,1825.046,,5.0,,,11.7,,,,,
182502,1825.125,,15.5,,,14.0,,,,,
182503,1825.207,,22.4,,,14.9,,,,,
182504,1825.290,,3.8,,,14.3,,,,,
182505,1825.374,,15.5,,,14.3,,,,,
182506,1825.457,,15.4,,,15.7,,,,,
182507,1825.541,,30.9,,,17.1,,,,,
182508,1825.626,,25.7,,,17.8,,,,,
182509,1825.708,,15.7,,,18.5,,,,,
182510,1825.793,,15.6,,,19.9,,,,,
182511,1825.875,,11.7,,,21.5,,,,,
182512,1825.960,,22.0,,,23.1,,,,,
182601,1826.045,,17.7,,,24.9,,,,,
182602,1826.125,,18.2,,,26.4,,,,,
182603,1826.207,,36.7,,,27.1,,,,,
182604,1826.289,,24.0,,,28.7,,,,,
182605,1826.374,,32.4,,,31.3,,,,,
182606,1826.456,,37.1,,,34.4,,,,,
182607,1826.541,,52.5,,,37.0,,,,,
182608,1826.626,,39.6,,,38.9,,,,,
182609,1826.708,,18.9,,,41.0,,,,,
182610,1826.793,,50.6,,,42.8,,,,,
182611,1826.875,,39.5,,,44.7,,,,,
182612,1826.960,,68.1,,,46.5,,,,,
182701,1827.044,,34.6,,,46.9,,,,,
182702,1827.124,,47.4,,,47.1,,,,,
182703,1827.206,,57.8,,,48.9,,,,,
182704,1827.288,,46.0,,,50.4,,,,,
182705,1827.373,,56.3,,,51.0,,,,,
182706,1827.455,,56.7,,,50.5,,,,,
182707,1827.540,,42.3,,,50.3,,,,,
182708,1827.625,,53.7,,,51.8,,,,,
182709,1827.707,,49.6,,,52.8,,,,,
182710,1827.792,,56.1,,,53.7,,,,,
182711,1827.874,,48.2,,,55.7,,,,,
182712,1827.959,,46.1,,,58.8,,,,,
182801,1828.044,,52.8,,,61.0,,,,,
182802,1828.126,,64.4,,,62.5,,,,,
182803,1828.208,,65.0,,,63.5,,,,,
182804,1828.290,,61.1,,,63.4,,,,,
182805,1828.375,,89.1,,,63.7,,,,,
182806,1828.457,,98.0,,,64.1,,,,,
182807,1828.542,,54.2,,,63.8,,,,,
182808,1828.627,,76.4,,,62.7,,,,,
182809,1828.709,,50.4,,,62.4,,,,,
182810,1828.794,,54.7,,,64.1,,,,,
182811,1828.876,,57.0,,,64.6,,,,,
182812,1828.961,,46.9,,,62.7,,,,,
182901,1829.046,,43.0,,,63.2,,,,,
182902,1829.125,,49.4,,,64.8,,,,,
182903,1829.207,,72.3,,,65.0,,,,,
182904,1829.290,,95.0,,,65.2,,,,,
182905,1829.374,,67.4,,,65.7,,,,,
182906,1829.457,,73.9,,,66.6,,,,,
182907,1829.541,,90.8,,,67.3,,,,,
182908,1829.626,,77.6,,,68.7,,,,,
182909,1829.708,,52.8,,,70.1,,,,,
182910,1829.793,,57.2,,,71.1,,,,,
182911,1829.875,,67.6,,,71.5,,,,,
182912,1829.960,,56.5,,,71.1,,,,,
183001,1830.045,,52.2,,,68.8,,,,,
183002,1830.125,,72.1,,,65.7,,,,,
183003,1830.207,,84.6,,,65.0,,,,,
183004,1830.289,,106.3,,,66.5,,,,,
183005,1830.374,,66.3,,,68.2,,,,,
183006,1830.456,,65.1,,,69.8,,,,,
183007,1830.541,,43.9,,,70.7,,,,,
183008,1830.626,,50.7,,,69.6,,,,,
183009,1830.708,,62.1,,,69.1,,,,,
183010,1830.793,,84.4,,,67.3,,,,,
183011,1830.875,,81.2,,,63.9,,,,,
183012,1830.960,,82.1,,,61.4,,,,,
183101,1831.044,,47.5,,,60.2,,,,,
183102,1831.124,,50.1,,,60.4,,,,,
183103,1831.206,,93.4,,,59.6,,,,,
183104,1831.288,,54.5,,,57.0,,,,,
183105,1831.373,,38.1,,,53.8,,,,,
183106,1831.455,,33.4,,,50.0,,,,,
183107,1831.540,,45.2,,,47.1,,,,,
183108,1831.625,,55.0,,,46.7,,,,,
183109,1831.707,,37.9,,,45.3,,,,,
183110,1831.792,,46.3,,,42.5,,,,,
183111,1831.874,,43.5,,,41.5,,,,,
183112,1831.959,,28.9,,,41.4,,,,,
183201,1832.044,,30.9,,,39.8,,,,,
183202,1832.126,,55.6,,,36.6,,,,,
183203,1832.208,,55.1,,,33.4,,,,,
183204,1832.290,,26.9,,,31.1,,,,,
183205,1832.375,,41.3,,,28.9,,,,,
183206,1832.457,,26.7,,,27.6,,,,,
183207,1832.542,,14.0,,,26.7,,,,,
183208,1832.627,,8.9,,,24.2,,,,,
183209,1832.709,,8.2,,,20.7,,,,,
183210,1832.794,,21.1,,,17.9,,,,,
183211,1832.876,,14.3,,,15.7,,,,,
183212,1832.961,,27.5,,,13.5,,,,,
183301,1833.046,,11.3,,,12.1,,,,,
183302,1833.125,,14.9,,,11.7,,,,,
183303,1833.207,,11.8,,,11.7,,,,,
183304,1833.290,,2.8,,,11.3,,,,,
183305,1833.374,,12.9,,,10.3,,,,,
183306,1833.457,,1.0,,,9.3,,,,,
183307,1833.541,,7.0,,,8.3,,,,,
183308,1833.626,,5.7,,,8.1,,,,,
183309,1833.708,,11.6,,,7.9,,,,,
183310,1833.793,,7.5,,,7.5,,,,,
183311,1833.875,,5.9,,,7.3,,,,,
183312,1833.960,,9.9,,,7.4,,,,,
183401,1834.045,,4.9,,,7.8,,,,,
183402,1834.125,,18.1,,,7.8,,,,,
183403,1834.207,,3.9,,,7.7,,,,,
183404,1834.289,,1.4,,,8.4,,,,,
183405,1834.374,,8.8,,,10.2,,,,,
183406,1834.456,,7.8,,,12.2,,,,,
183407,1834.541,,8.7,,,13.3,,,,,
183408,1834.626,,4.0,,,13.7,,,,,
183409,1834.708,,11.5,,,14.7,,,,,
183410,1834.793,,24.8,,,17.8,,,,,
183411,1834.875,,30.5,,,21.8,,,,,
183412,1834.960,,34.5,,,24.3,,,,,
183501,1835.044,,7.5,,,27.5,,,,,
183502,1835.124,,24.5,,,31.9,,,,,
183503,1835.206,,19.7,,,37.9,,,,,
183504,1835.288,,61.5,,,44.5,,,,,
183505,1835.373,,43.6,,,50.4,,,,,
183506,1835.455,,33.2,,,55.1,,,,,
183507,1835.540,,59.8,,,60.2,,,,,
183508,1835.625,,59.0,,,67.1,,,,,
183509,1835.707,,100.8,,,73.8,,,,,
183510,1835.792,,95.2,,,80.5,,,,,
183511,1835.874,,100.0,,,86.7,,,,,
183512,1835.959,,77.5,,,93.3,,,,,
183601,1836.044,,88.6,,,99.5,,,,,
183602,1836.126,,107.6,,,103.9,,,,,
183603,1836.208,,98.2,,,105.7,,,,,
183604,1836.290,,142.9,,,107.2,,,,,
183605,1836.375,,111.4,,,109.9,,,,,
183606,1836.457,,124.7,,,116.1,,,,,
183607,1836.542,,116.7,,,125.6,,,,,
183608,1836.627,,107.8,,,132.6,,,,,
183609,1836.709,,95.1,,,136.9,,,,,
183610,1836.794,,137.4,,,138.2,,,,,
183611,1836.876,,120.9,,,138.1,,,,,
183612,1836.961,,206.2,,,139.5,,,,,
183701,1837.046,,188.0,,,142.8,,,,,
183702,1837.125,,175.6,,,145.8,,,,,
183703,1837.207,,134.6,,,146.9,,,,,
183704,1837.290,,138.2,,,146.4,,,,,
183705,1837.374,,111.7,,,145.3,,,,,
183706,1837.457,,158.0,,,141.5,,,,,
183707,1837.541,,162.8,,,136.5,,,,,
183708,1837.626,,134.0,,,130.9,,,,,
183709,1837.708,,96.3,,,127.4,,,,,
183710,1837.793,,123.7,,,127.2,,,,,
183711,1837.875,,107.0,,,127.8,,,,,
183712,1837.960,,129.8,,,126.2,,,,,
183801,1838.045,,144.9,,,121.3,,,,,
183802,1838.125,,84.8,,,116.7,,,,,
183803,1838.207,,140.8,,,113.5,,,,,
183804,1838.289,,126.6,,,111.2,,,,,
183805,1838.374,,137.6,,,108.5,,,,,
183806,1838.456,,94.5,,,105.2,,,,,
183807,1838.541,,108.2,,,101.5,,,,,
183808,1838.626,,78.8,,,100.6,,,,,
183809,1838.708,,73.6,,,98.7,,,,,
183810,1838.793,,90.8,,,93.4,,,,,
183811,1838.875,,77.4,,,87.2,,,,,
183812,1838.960,,79.8,,,82.0,,,,,
183901,1839.044,,105.6,,,79.4,,,,,
183902,1839.124,,102.5,,,80.6,,,,,
183903,1839.206,,77.7,,,85.3,,,,,
183904,1839.288,,61.8,,,87.7,,,,,
183905,1839.373,,53.8,,,87.4,,,,,
183906,1839.455,,54.6,,,86.3,,,,,
183907,1839.540,,84.8,,,84.7,,,,,
183908,1839.625,,131.2,,,83.0,,,,,
183909,1839.707,,132.7,,,82.0,,,,,
183910,1839.792,,90.9,,,81.8,,,,,
183911,1839.874,,68.8,,,82.6,,,,,
183912,1839.959,,63.7,,,83.0,,,,,
184001,1840.044,,81.2,,,81.7,,,,,
184002,1840.126,,87.7,,,77.6,,,,,
184003,1840.208,,67.8,,,72.1,,,,,
184004,1840.290,,65.9,,,68.2,,,,,
184005,1840.375,,69.2,,,66.1,,,,,
184006,1840.457,,48.5,,,65.1,,,,,
184007,1840.542,,60.7,,,62.3,,,,,
184008,1840.627,,57.8,,,57.5,,,,,
184009,1840.709,,74.0,,,53.5,,,,,
184010,1840.794,,55.0,,,50.8,,,,,
184011,1840.876,,54.3,,,49.7,,,,,
184012,1840.961,,53.7,,,49.9,,,,,
184101,1841.046,,24.1,,,49.0,,,,,
184102,1841.125,,29.9,,,47.0,,,,,
184103,1841.207,,29.7,,,44.6,,,,,
184104,1841.290,,40.2,,,42.0,,,,,
184105,1841.374,,67.5,,,39.4,,,,,
184106,1841.457,,55.7,,,37.4,,,,,
184107,1841.541,,30.8,,,36.6,,,,,
184108,1841.626,,39.3,,,36.1,,,,,
184109,1841.708,,36.5,,,35.4,,,,,
184110,1841.793,,28.5,,,34.6,,,,,
184111,1841.875,,19.8,,,32.2,,,,,
184112,1841.960,,38.8,,,29.0,,,,,
184201,1842.045,,20.4,,,26.8,,,,,
184202,1842.125,,22.1,,,25.5,,,,,
184203,1842.207,,21.7,,,24.2,,,,,
184204,1842.289,,26.9,,,23.8,,,,,
184205,1842.374,,24.9,,,25.1,,,,,
184206,1842.456,,20.5,,,25.1,,,,,
184207,1842.541,,12.6,,,23.9,,,,,
184208,1842.626,,26.6,,,22.8,,,,,
184209,1842.708,,18.4,,,21.5,,,,,
184210,1842.793,,38.1,,,20.2,,,,,
184211,1842.875,,40.5,,,19.3,,,,,
184212,1842.960,,17.6,,,18.8,,,,,
184301,1843.044,,13.3,,,18.2,,,,,6.8
184302,1843.124,,3.5,,,17.5,,,,,4.7
184303,1843.206,,8.3,,,16.3,,,,,7.1
184304,1843.288,,9.5,,,14.3,,,,,9.1
184305,1843.373,,21.1,,,12.0,,,,,10.9
184306,1843.455,,10.5,,,10.9,,,,,12.8
184307,1843.540,,9.5,,,10.6,,,,,16.0
184308,1843.625,,11.8,,,10.9,,,,,16.4
184309,1843.707,,4.2,,,11.6,,,,,16.4
184310,1843.792,,5.3,,,12.3,,,,,12.2
184311,1843.874,,19.1,,,12.3,,,,,9.8
184312,1843.959,,12.7,,,11.7,,,,,9.1
184401,1844.044,,9.4,,,11.9,,,,,7.7
184402,1844.126,,14.7,,,12.8,,,,,5.5
184403,1844.208,,13.6,,,13.5,,,,,7.4
184404,1844.290,,20.8,,,14.3,,,,,11.0
184405,1844.375,,11.6,,,14.6,,,,,11.6
184406,1844.457,,3.7,,,14.6,,,,,14.9
184407,1844.542,,21.2,,,15.7,,,,,16.0
